activity_id,shoes,device,suffer
292965286,b'Saucony Breakthru\n(429.7 mi)',b'Garmin Forerunner 410',b'\xe2\x80\x94'
1890436970,b'Saucony Fastwitch 8\n(383.5 mi)',b'Garmin Forerunner 935',b'\xe2\x80\x94'
1845203110,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
896698025,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
424827111,b'HOKA ONE ONE Huaka\n(117.5 mi)',b'Garmin Forerunner 620',b'\xe2\x80\x94'
2292006784,b'Nike VaporFly 4%\n(81.9 mi)',b'Garmin Forerunner 630',b'319'
1528367856,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'92'
1221256579,"b'Nike Elite 9\n(9,650.7 mi)'",b'Garmin Forerunner 935',b'213'
2786426147,b'\xe2\x80\x94',b'Garmin Forerunner 735XT',b'642'
1524525554,"b'adidas Adizero Adios Boost (2014)\n(7,171.2 mi)'",b'Garmin Forerunner 235',b'\xe2\x80\x94'
1525059634,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
2325545442,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
2325359892,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1512346839,b'HOKA ONE ONE Hupana\n(158.7 mi)',b'Garmin Forerunner 630',b'452'
1512916520,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'\xe2\x80\x94'
2325488795,b'\xe2\x80\x94',b'Garmin Forerunner 35',b'491'
1525546816,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'695'
1221579144,"b'adidas Ultra Boost\n(9,067.5 mi)'",b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
549427524,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
879842166,b'Nike Lunar Epic Low\n(93.6 mi)',b'Garmin f\xc4\x93nix 2',b'\xe2\x80\x94'
232574216,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
206752545,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1262910821,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'358'
211105384,"b'Karhu Flow 3 Light\n(5,427.9 mi)'",b'\xe2\x80\x94',b'\xe2\x80\x94'
549412657,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'395'
2292454203,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
133110937,b'ASICS Kayano 19\n(372.6 mi)',b'Garmin Forerunner 410',b'\xe2\x80\x94'
555397005,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'369'
946499686,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5X',b'607'
1262909115,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'\xe2\x80\x94'
567282226,b'\xe2\x80\x94',b'\xe2\x80\x94',b'395'
953485136,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
214943322,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
2292122508,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'\xe2\x80\x94'
2838959268,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
411008638,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
1512582315,b'adidas adios\n(211.6 mi)',b'Garmin Forerunner 225',b'674'
1221412106,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'382'
2327640889,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
2838804682,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'187'
293414681,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
2109925645,b'\xe2\x80\x94',b'Polar V800',b'637'
295093585,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
424697147,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1890677273,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5S',b'\xe2\x80\x94'
984093269,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
235961718,"b'Saucony Kinvara 2 ""Orange/Black""\n(290.8 mi)'",b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
1512316147,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'540'
2292190934,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
1845743756,b'adidas Adizero adios 3 - Sept 2018\n(495.8 mi)',b'Garmin Forerunner 235',b'334'
864064017,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'614'
214924283,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
2786227923,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
1845302220,b'adidas ADIZERO BOSTON 6\n(361.6 mi)',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
293103521,b'Brooks PureConnect\n(614.2 mi)',b'Garmin Forerunner 620',b'\xe2\x80\x94'
946467874,b'adidas Energy Boost 3\n(406.0 mi)',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
1262941771,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2787170925,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5S',b'\xe2\x80\x94'
2292155010,b'\xe2\x80\x94',b'Garmin Forerunner 645 Music',b'543'
1978884582,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
433076829,b'Saucony Fastwitch 6\n(458.6 mi)',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
2197841710,b'\xe2\x80\x94',b'Polar V800',b'607'
2292184575,b'\xe2\x80\x94',b'Garmin Forerunner 35',b'513'
1844934784,b'Nike Pegasus 35\n(356.2 mi)',b'Garmin Forerunner 735XT',b'446'
2786721186,"b'Nike Pegasus red\n(4,451.1 mi)'",b'Garmin Forerunner 620',b'\xe2\x80\x94'
1946111255,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2292987883,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5S',b'594'
550788690,b'Newton Distance IV\n(385.2 mi)',b'Garmin Forerunner 310XT',b'\xe2\x80\x94'
1221282237,b'Saucony Kinvara 8.3\n(187.7 mi)',b'Garmin Forerunner 220',b'\xe2\x80\x94'
289318703,b'adidas glide boost 6 (b&w)\n(526.7 mi)',b'Garmin Forerunner 305',b'\xe2\x80\x94'
1512279312,"b'Brooks Pure Cadence\n(6,952.5 mi)'",b'Garmin Forerunner 920XT',b'\xe2\x80\x94'
1946267881,b'Nike Air Zoom Pegasis 35\n(591.5 mi)',b'Garmin Forerunner 630',b'\xe2\x80\x94'
293384588,b'\xe2\x80\x94',b'Garmin Forerunner 110',b'\xe2\x80\x94'
1890435263,b'Nike Vaporfly 4% Flyknit\n(69.8 mi)',b'Garmin Forerunner 935',b'472'
946463059,b'\xe2\x80\x94',b'Suunto',b'\xe2\x80\x94'
946469863,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
2325344608,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
2786258817,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1845414074,b'Nike Vaporflys 4%\n(159.4 mi)',b'Garmin Forerunner 220',b'\xe2\x80\x94'
1263073147,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
1524418815,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
293707956,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
215716795,b'Saucony\n(455.3 mi)',b'Garmin Forerunner 220',b'\xe2\x80\x94'
2325313340,b'On Cloudflyer\n(446.4 mi)',b'Garmin Forerunner 235',b'379'
1226372754,b'\xe2\x80\x94',b'\xe2\x80\x94',b'192'
601453532,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
207857592,b'Newton Distance\n(828.9 mi)',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
2749008320,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2749099579,b'Nike Next%\n(136.8 mi)',b'Garmin Forerunner 935',b'250'
1221431066,b'New Balance Zante v3\n(335.3 mi)',b'Garmin f\xc4\x93nix 5S',b'\xe2\x80\x94'
1946310072,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1512857547,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
2748997999,b'Nike VaporFly 4%\n(84.3 mi)',b'Garmin Forerunner 935',b'\xe2\x80\x94'
424853662,b'adidas adios boost\n(472.7 mi)',b'Garmin Forerunner 405',b'\xe2\x80\x94'
289365496,b'Saucony Kinvara3\n(280.4 mi)',b'Garmin Forerunner 610',b'\xe2\x80\x94'
868767827,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1527596332,b'\xe2\x80\x94',b'Garmin Forerunner 920XT',b'661'
317543178,b'\xe2\x80\x94',b'Garmin Forerunner 10',b'\xe2\x80\x94'
1844954855,b'Nike Vaporfly 4% (Red)\n(463.2 mi)',b'Garmin Forerunner 235',b'159'
1512742608,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
740044418,"b'ASICS DS Trainer 20 v4\n(3,371.8 mi)'",b'Garmin Forerunner 620',b'475'
947403300,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 3',b'\xe2\x80\x94'
134753463,b'\xe2\x80\x94',b'Garmin Forerunner 305',b'\xe2\x80\x94'
739771027,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
2838869659,"b'Nike VaporFly 4%\n(2,571.7 mi)'",b'Garmin Instinct',b'204'
1297518116,b'New Balance M1090 O4 4E\n(560.8 mi)',b'Soleus GPS',b'\xe2\x80\x94'
1845343111,b'\xe2\x80\x94',b'Garmin Forerunner 230',b'\xe2\x80\x94'
1890886483,b'\xe2\x80\x94',b'Suunto Spartan Ultra',b'\xe2\x80\x94'
1424663467,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'\xe2\x80\x94'
1946193597,"b'New Balance 2090\n(1,210.7 mi)'",b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
1513032397,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
214821622,b'ASICS GT 2000 2 (Limeade)\n(464.6 mi)',b'Strava iPhone App',b'\xe2\x80\x94'
949613310,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
946512618,b'Saucony Omni 14\n(487.4 mi)',b'Garmin Forerunner 235',b'\xe2\x80\x94'
2326026712,b'\xe2\x80\x94',b'Garmin Forerunner 35',b'\xe2\x80\x94'
879990012,"b'adidas Ultra Boost - Orange\n(9,058.9 mi)'",b'Garmin Forerunner 220',b'\xe2\x80\x94'
1512536700,b'HOKA ONE ONE Tracer Red 2\n(81.6 mi)',b'Garmin Forerunner 620',b'\xe2\x80\x94'
411009185,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1890372216,b'adidas adidas Adizero Boston\n(763.1 mi)',b'Garmin f\xc4\x93nix 5S',b'\xe2\x80\x94'
1845129531,"b'adidas Adios Boost 2\n(8,619.9 mi)'",b'Garmin Forerunner 630',b'\xe2\x80\x94'
1512363052,b'\xe2\x80\x94',b'Garmin f\xc4\x93nix 5',b'\xe2\x80\x94'
551131080,b'\xe2\x80\x94',b'Garmin Forerunner 610',b'\xe2\x80\x94'
2292102501,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'49'
424854699,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
424647534,b'\xe2\x80\x94',b'Strava iPhone App',b'\xe2\x80\x94'
135611769,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
