activity_id,shoes,device,suffer
2749333711,b'adidas Boston 7\n(238.3 mi)',b'Garmin Forerunner 225',b'\xe2\x80\x94'
424641876,"b'Brooks Ravenna\n(5,047.2 mi)'",b'Strava iPhone App',b'\xe2\x80\x94'
739749010,b'Brooks Ravenna\n(442.7 mi)',b'TomTom',b'\xe2\x80\x94'
1221233415,b'Mizuno Wave Ronin 4 (2015)\n(280.7 mi)',b'Garmin f\xc4\x93nix 3',b'607'
1524661974,b'Nike Zoom Fly\n(249.3 mi)',b'Garmin Forerunner 735XT',b'559'
2873053399,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
555310556,b'\xe2\x80\x94',b'Garmin Forerunner 630',b'\xe2\x80\x94'
1532815475,b'Skechers GOmeb Speed 3\n(443.7 mi)',b'Garmin Forerunner 25',b'\xe2\x80\x94'
293796900,b'\xe2\x80\x94',b'Garmin Forerunner 220',b'\xe2\x80\x94'
739630324,b'HOKA ONE ONE Clayton\n(270.3 mi)',b'Garmin Forerunner 405',b'\xe2\x80\x94'
1221456530,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'442'
214905822,b'\xe2\x80\x94',b'Garmin Forerunner 405',b'534'
207174632,b'\xe2\x80\x94',b'Garmin Forerunner 10',b'\xe2\x80\x94'
946478239,"b'Saucony kinvara 7\n(1,032.6 mi)'",b'Suunto Ambit3 Peak',b'\xe2\x80\x94'
214804805,b'Mizuno Wave Rider 16 -Black\n(453.6 mi)',b'Strava Android App',b'\xe2\x80\x94'
517983013,b'\xe2\x80\x94',b'Garmin Forerunner 910XT',b'\xe2\x80\x94'
1221379278,b'\xe2\x80\x94',b'Garmin Forerunner 935',b'304'
2844281548,b'\xe2\x80\x94',b'\xe2\x80\x94',b'\xe2\x80\x94'
1525043551,b'\xe2\x80\x94',b'Garmin Forerunner 620',b'\xe2\x80\x94'
1134281188,"b'Mizuno Wave Rider 19: Pink/Purple\n(10,994.6 mi)'",b'Garmin Forerunner 620',b'\xe2\x80\x94'
133669892,"b'ASICS Gel nimbus 12\n(2,128.1 mi)'",b'Garmin Forerunner 210',b'\xe2\x80\x94'
556362882,b'\xe2\x80\x94',b'TomTom',b'\xe2\x80\x94'
1890339182,b'Brooks Adrenaline GTS 18\n(700.0 mi)',b'Garmin Forerunner 920XT',b'723'
2838957007,b'HOKA ONE ONE Rincon\n(250.1 mi)',b'Garmin f\xc4\x93nix 5S Plus',b'507'
879906903,b'adidas adizero adios\n(27.0 mi)',b'Garmin Forerunner 230',b'\xe2\x80\x94'
1524590638,b'\xe2\x80\x94',b'Garmin Forerunner 235',b'497'
2325853787,"b'adidas adizero adios boost 2\n(5,006.3 mi)'",b'Garmin f\xc4\x93nix 5',b'430'
